Fri Aug  8 08:24:11 2025    morgan/output.prof

         17555703 function calls (16866950 primitive calls) in 41.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48735    0.035    0.000    0.266    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:404(end_event)
      173    0.006    0.000    0.262    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/codegen.py:651(_optimize_functions)
   239702    0.095    0.000    0.258    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:243(notify)
    43003    0.014    0.000    0.252    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1249(exit_fn)
        3    0.000    0.000    0.252    0.084 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
    36020    0.039    0.000    0.250    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/ir/values.py:544(_to_string)
     8433    0.023    0.000    0.246    0.000 /opt/conda/envs/ml/lib/python3.10/zipfile.py:987(_read1)
    14919    0.013    0.000    0.242    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numpy/lib/format.py:971(_read_bytes)
37203/32581    0.014    0.000    0.238    0.000 /opt/conda/envs/ml/lib/python3.10/contextlib.py:130(__enter__)
      590    0.021    0.000    0.225    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:2426(squeeze)
  956/930    0.038    0.000    0.224    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/analysis.py:23(compute_use_defs)
      210    0.000    0.000    0.223    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/typed/typedlist.py:341(append)
    43003    0.021    0.000    0.222    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/llvmlite/binding/ffi.py:77(__enter__)
      295    0.001    0.000    0.214    0.001 /usr/src/app/morgan/trainingDataLib.py:528(_tm_cache)
6472/5587    0.034    0.000    0.210    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/sparse/numba_backend/_coo/core.py:198(__init__)
    48735    0.033    0.000    0.207    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/event.py:390(start_event)
  425/191    0.000    0.000    0.203    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/linear_util.py:190(call_wrapped)
  333/189    0.001    0.000    0.203    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/api_util.py:283(_argnums_partial)
  297/189    0.001    0.000    0.202    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/api_util.py:69(flatten_fun)
  297/189    0.001    0.000    0.201    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/api_util.py:649(result_paths)
      590    0.005    0.000    0.201    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/numpy/lax_numpy.py:6114(zeros)
        3    0.000    0.000    0.198    0.066 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/parfors/parfor_lowering.py:1082(_create_gufunc_for_parfor_body)
    43003    0.013    0.000    0.197    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:1246(enter_fn)
592451/591009    0.087    0.000    0.195    0.000 {built-in method builtins.getattr}
      189    0.006    0.000    0.193    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:727(__init__)
       93    0.002    0.000    0.191    0.002 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/interpreter.py:1365(interpret)
      599    0.003    0.000    0.188    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/lax/lax.py:1898(full)
      189    0.175    0.001    0.187    0.001 /opt/conda/envs/ml/lib/python3.10/site-packages/jax/_src/interpreters/mlir.py:602(make_ir_context)
  685/476    0.001    0.000    0.187    0.000 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/base.py:261(refresh)
        5    0.000    0.000    0.187    0.037 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/cpython/old_numbers.py:206(int_power_impl)
        3    0.000    0.000    0.185    0.062 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:742(compile_ir)
        3    0.000    0.000    0.184    0.061 /opt/conda/envs/ml/lib/python3.10/site-packages/numba/core/compiler.py:441(compile_ir)
