Wed Aug  6 12:02:42 2025    output.prof

         11870861 function calls (11437881 primitive calls) in 70.321 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.185    0.010 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/types/functions.py:389(get_call_type)
        8    0.000    0.000    0.184    0.023 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/typing/templates.py:1134(generic)
      376    0.001    0.000    0.183    0.000 <__array_function__ internals>:177(stack)
     4512    0.011    0.000    0.181    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/utils.py:1032(safe_eval)
      376    0.004    0.000    0.180    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/core/shape_base.py:383(stack)
    42730    0.021    0.000    0.177    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:403(_repr)
15631/14051    0.009    0.000    0.175    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/contextlib.py:108(__enter__)
      752    0.001    0.000    0.172    0.000 <__array_function__ internals>:177(triu)
     4512    0.015    0.000    0.171    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/ast.py:51(literal_eval)
      912    0.002    0.000    0.171    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/pprint.py:189(_pprint_dict)
     4512    0.006    0.000    0.170    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/tokenize.py:257(untokenize)
29804/29630    0.023    0.000    0.169    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      752    0.004    0.000    0.169    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numpy/lib/twodim_base.py:497(triu)
     1923    0.006    0.000    0.165    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/runtime/context.py:360(_call_incref_decref)
161133/28598    0.112    0.000    0.162    0.000 /home/sp970/sam/notes/Create_Training_Data_Function/.venv/lib/python3.8/site-packages/numba/core/ir.py:317(_rec_list_vars)
    83096    0.026    0.000    0.161    0.000 /home/sp970/.local/share/uv/python/cpython-3.8.20-linux-x86_64-gnu/lib/python3.8/re.py:250(compile)
