,metabolite_id,pH,amount,amount_units,reference,solvent,hmdb_experiment_number,bmrb_accession,database_of_origin,database_of_origin_id
SA:3502,SU:103,,,,,,,bmse000041,GISSMO,bmse000041
SA:3503,SU:1430,,,,,,,bmse000069,GISSMO,bmse000069
SA:3504,SU:577,,,,,,,bmse000096,GISSMO,bmse000096
SA:3505,SU:1534,,,,,,,bmse000928,GISSMO,bmse000928
SA:3506,SU:109,,,,,,,bmse000914,GISSMO,bmse000914
SA:3507,SU:95,,,,,,,bmse000900,GISSMO,bmse000900
SA:3508,SU:128,,,,,,,bmse000901,GISSMO,bmse000901
SA:3509,SU:341,,,,,,,bmse000915,GISSMO,bmse000915
SA:3510,SU:80,,,,,,,bmse000083,GISSMO,bmse000083
SA:3511,SU:367,,,,,,,bmse000097,GISSMO,bmse000097
SA:3512,SU:15,,,,,,,bmse000929,GISSMO,bmse000929
SA:3513,SU:1549,,,,,,,bmse000726,GISSMO,bmse000726
SA:3514,SU:354,,,,,,,bmse000040,GISSMO,bmse000040
SA:3515,SU:1598,,,,,,,bmse000732,GISSMO,bmse000732
SA:3516,SU:553,,,,,,,bmse000281,GISSMO,bmse000281
SA:3517,SU:1794,,,,,,,bmse000518,GISSMO,bmse000518
SA:3518,SU:802,,,,,,,bmse001174,GISSMO,bmse001174
SA:3519,SU:1951,,,,,,,bmse000242,GISSMO,bmse000242
SA:3520,SU:1510,,,,,,,bmse000524,GISSMO,bmse000524
SA:3521,SU:1346,,,,,,,bmse001148,GISSMO,bmse001148
SA:3522,SU:1903,,,,,,,bmse000336,GISSMO,bmse000336
SA:3523,SU:1448,,,,,,,bmse000450,GISSMO,bmse000450
SA:3524,SU:1186,,,,,,,bmse000444,GISSMO,bmse000444
SA:3525,SU:108,,,,,,,bmse000322,GISSMO,bmse000322
SA:3526,SU:114,,,,,,,bmse000875,GISSMO,bmse000875
SA:3527,SU:21,,,,,,,bmse000861,GISSMO,bmse000861
SA:3528,SU:886,,,,,,,bmse000691,GISSMO,bmse000691
SA:3529,SU:970,,,,,,,bmse000108,GISSMO,bmse000108
SA:3530,SU:1872,,,,,,,bmse000134,GISSMO,bmse000134
SA:3531,SU:154,,,,,,,bmse000120,GISSMO,bmse000120
SA:3532,SU:1657,,,,,,,bmse000646,GISSMO,bmse000646
SA:3533,SU:1694,,,,,,,bmse000678,GISSMO,bmse000678
SA:3534,SU:1532,,,,,,,bmse001200,GISSMO,bmse001200
SA:3535,SU:1765,,,,,,,bmse000693,GISSMO,bmse000693
SA:3536,SU:1938,,,,,,,bmse000687,GISSMO,bmse000687
SA:3537,SU:1716,,,,,,,bmse000877,GISSMO,bmse000877
SA:3538,SU:154,,,,,,,bmse000863,GISSMO,bmse000863
SA:3539,SU:478,,,,,,,bmse000452,GISSMO,bmse000452
SA:3540,SU:1585,,,,,,,bmse000334,GISSMO,bmse000334
SA:3541,SU:7,,,,,,,bmse000320,GISSMO,bmse000320
SA:3542,SU:408,,,,,,,bmse000446,GISSMO,bmse000446
SA:3543,SU:136,,,,,,,bmse000308,GISSMO,bmse000308
SA:3544,SU:1836,,,,,,,bmse000526,GISSMO,bmse000526
SA:3545,SU:1852,,,,,,,bmse000532,GISSMO,bmse000532
SA:3546,SU:1680,,,,,,,bmse001162,GISSMO,bmse001162
SA:3547,SU:911,,,,,,,bmse001176,GISSMO,bmse001176
SA:3548,SU:138,,,,,,,bmse000283,GISSMO,bmse000283
SA:3549,SU:63,,,,,,,bmse000297,GISSMO,bmse000297
SA:3550,SU:1748,,,,,,,bmse001189,GISSMO,bmse001189
SA:3551,SU:334,,,,,,,bmse000042,GISSMO,bmse000042
SA:3552,SU:702,,,,,,,bmse000730,GISSMO,bmse000730
SA:3553,SU:1518,,,,,,,bmse000718,GISSMO,bmse000718
SA:3554,SU:785,,,,,,,bmse000095,GISSMO,bmse000095
SA:3555,SU:499,,,,,,,bmse000917,GISSMO,bmse000917
SA:3556,SU:547,,,,,,,bmse000916,GISSMO,bmse000916
SA:3557,SU:93,,,,,,,bmse000094,GISSMO,bmse000094
SA:3558,SU:1713,,,,,,,bmse000080,GISSMO,bmse000080
SA:3559,SU:1846,,,,,,,bmse000731,GISSMO,bmse000731
SA:3560,SU:109,,,,,,,bmse000043,GISSMO,bmse000043
SA:3561,SU:1831,,,,,,,bmse000725,GISSMO,bmse000725
SA:3562,SU:1681,,,,,,,bmse000282,GISSMO,bmse000282
SA:3563,SU:533,,,,,,,bmse000269,GISSMO,bmse000269
SA:3564,SU:1062,,,,,,,bmse000527,GISSMO,bmse000527
SA:3565,SU:55,,,,,,,bmse000241,GISSMO,bmse000241
SA:3566,SU:1899,,,,,,,bmse000309,GISSMO,bmse000309
SA:3567,SU:566,,,,,,,bmse000321,GISSMO,bmse000321
SA:3568,SU:879,,,,,,,bmse000447,GISSMO,bmse000447
SA:3569,SU:1723,,,,,,,bmse000453,GISSMO,bmse000453
SA:3570,SU:203,,,,,,,bmse000335,GISSMO,bmse000335
SA:3571,SU:556,,,,,,,bmse000862,GISSMO,bmse000862
SA:3572,SU:1719,,,,,,,bmse000692,GISSMO,bmse000692
SA:3573,SU:1655,,,,,,,bmse000679,GISSMO,bmse000679
SA:3574,SU:1069,,,,,,,bmse000645,GISSMO,bmse000645
SA:3575,SU:357,,,,,,,bmse000123,GISSMO,bmse000123
SA:3576,SU:705,,,,,,,bmse000137,GISSMO,bmse000137
SA:3577,SU:1991,,,,,,,bmse000178,GISSMO,bmse000178
SA:3578,SU:692,,,,,,,bmse000150,GISSMO,bmse000150
SA:3579,SU:409,,,,,,,bmse000636,GISSMO,bmse000636
SA:3580,SU:1712,,,,,,,bmse000622,GISSMO,bmse000622
SA:3581,SU:634,,,,,,,bmse000144,GISSMO,bmse000144
SA:3582,SU:1842,,,,,,,bmse000193,GISSMO,bmse000193
SA:3583,SU:182,,,,,,,bmse000187,GISSMO,bmse000187
SA:3584,SU:350,,,,,,,bmse000408,GISSMO,bmse000408
SA:3585,SU:441,,,,,,,bmse000434,GISSMO,bmse000434
SA:3586,SU:1837,,,,,,,bmse000352,GISSMO,bmse000352
SA:3587,SU:1679,,,,,,,bmse000420,GISSMO,bmse000420
SA:3588,SU:709,,,,,,,bmse000391,GISSMO,bmse000391
SA:3589,SU:474,,,,,,,bmse000385,GISSMO,bmse000385
SA:3590,SU:1930,,,,,,,bmse001104,GISSMO,bmse001104
SA:3591,SU:1049,,,,,,,bmse000568,GISSMO,bmse000568
